StreetAddress,City,State,AddressID
2605 Henery Street,Wichita,KS,1259
196 High Meadow Lane,Northumberland,PA,1260
900 Francis Mine,Grass Valley,CA,1261
3929 Catherine Drive,Dickinson,ND,1262
1913 Heron Way,Portland,OR,1263
3050 Crosswind Drive,Madisonville,KY,1264
379 Center Avenue,Fresno,CA,1265
1304 Hartway Street,Lake Norden,SD,1266
453 Byrd Lane,Albuquerque,NM,1267
3478 Christie Way,Ayer,MA,1268
3416 Frank Avenue,Springfield,MA,1269
3275 Rockwell Lane,Halifax,NC,1270
2830 Joes Road,Albany,NY,1271
3813 Whitman Court,Wallingford,CT,1272
4959 Froe Street,Triadelphia,WV,1273
1295 Ferguson Street,Fall River,MA,1274
4174 Langtown Road,Toledo,OH,1275
3383 Lake Forest Drive,Westbury,NY,1276
2602 Better Street,Savannah,GA,1277
3722 Brooklyn Street,Roanoke,VA,1278
4148 Augusta Park,Wellsburg,WV,1279
1457 Green Avenue,Concord,CA,1280
776 White Lane,Bentonville,AR,1281
588 Trouser Leg Road,Springfield,MA,1282
2484 Millbrook Road,Northbrook,IL,1283
502 Fort Street,New Bern,NC,1284
699 Front Street,Detroit,MI,1285
3 Stonepot Road,Branchburg,NJ,1286
918 Pineview Drive,Mankato,MN,1287
4607 Catherine Drive,Rolette,ND,1288
2581 Dark Hollow Road,Milton,WI,1289
3212 Joy Lane,Sherman Oaks,CA,1290
3857 Broaddus Avenue,Radcliff,KY,1291
4931 Rosewood Court,Morgan,MN,1292
4690 Rivendell Drive,Youngstown,OH,1293
1925 Washington Avenue,Jackson,MS,1294
2915 Late Avenue,Oklahoma City,OK,1295
1941 Drainer Avenue,Valparaiso,FL,1296
899 Smithfield Avenue,Lubbock,TX,1297
4199 Radford Street,Louisville,KY,1298
1676 Metz Lane,Woburn,MA,1299
4165 Washington Street,Corpus Christi,TX,1300
3506 Oral Lake Road,Minneapolis,MN,1301
1365 Rockford Mountain Lane,Appleton,WI,1302
194 Oliverio Drive,Rush Center,KS,1303
16 Pyramid Valley Road,Cedar Rapids,IA,1304
3900 Beech Street,Antioch,CA,1305
4292 Levy Court,Wilmington,MA,1306
4954 Florence Street,Dallas,TX,1307
1850 Jerry Toth Drive,Twin Hills,AK,1308
98 Ritter Street,Huntsville,AL,1309
2128 Briarwood Road,Thomasville,MO,1310
2629 Kinney Street,Agawam,MA,1311
4927 Walt Nuzum Farm Road,Spencerport,NY,1312
187 Vineyard Drive,Warrensville Heights,OH,1313
3022 Myra Street,Providence,RI,1314
3692 Marcus Street,Huntsville,AL,1315
716 Wakefield Street,Philadelphia,PA,1316
1795 Valley Street,Hopewell (Mercer),NJ,1317
4770 Hood Avenue,San Diego,CA,1318
2311 Emeral Dreams Drive,Streator,IL,1319
2549 Hershell Hollow Road,Everett,WA,1320
1154 Logan Lane,Northglenn,CO,1321
1776 Spruce Drive,Pittsburgh,PA,1322
1513 Pringle Drive,Burr Ridge,IL,1323
87 Carolina Avenue,Harlingen,TX,1324
1954 Timbercrest Road,Indian Mtn A.F.S.,AK,1325
2117 Rollins Road,Silver Creek,NE,1326
3153 Francis Mine,Redding,CA,1327
902 Conference Center Way,Scranton,PA,1328
4298 McKinley Avenue,Englewood,CO,1329
4400 Glendale Avenue,Fullerton,CA,1330
138 Oak Ridge Drive,Sikeston,MO,1331
1280 Aviation Way,Los Angeles,CA,1332
1783 Twin Willow Lane,Rockingham,NC,1333
2378 Angie Drive,Anaheim,CA,1334
3008 Fairmont Avenue,Kansas City,MO,1335
3431 Ingram Road,Greensboro,NC,1336
1874 Brookview Drive,Woodville,TX,1337
2072 Atha Drive,Newhall,CA,1338
1925 Sampson Street,Georgetown,CO,1339
3224 Brookview Drive,Sunnyvale,CA,1340
207 Tori Lane,Goshen,UT,1341
2550 Tenmile,Accomack,VA,1342
3342 Maple Lane,Birmingham,AL,1343
1366 Braxton Street,Rockford,IL,1344
3411 Jewell Road,Minneapolis,MN,1345
2823 Villa Drive,South Bend,IN,1346
1372 Emerson Road,Monroe,LA,1347
374 Hillcrest Circle,Brooklyn Center,MN,1348
4546 Cimmaron Road,Tustin,CA,1349
2511 North Street,Cedar City,UT,1350
3217 Charter Street,Kansas City,KS,1351
3554 Winding Way,Providence,RI,1352
912 Upton Avenue,Westbrook,ME,1353
3121 West Fork Street,Dupuyer,MT,1354
2194 Quarry Drive,Dothan,AL,1355
656 Sheila Lane,Sparks,NV,1356
3603 Johnson Street,Cary,NC,1357
4150 Hidden Meadow Drive,Gwinner,ND,1358
3778 Earnhardt Drive,Louisville,KY,1359
3179 Ashford Drive,Quantico,VA,1360
4603 Fraggle Drive,La Grange,IL,1361
2945 Poplar Lane,Miami,FL,1362
1313 Traders Alley,Independence,MO,1363
2186 Pick Street,Centennial,CO,1364
3364 Ventura Drive,Ben Lomond,CA,1365
3462 Barrington Court,Jesup,AR,1366
2236 Leisure Lane,Thousand Oaks,CA,1367
3300 Laurel Lane,Midland,TX,1368
1335 Big Indian,Yscloskey,LA,1369
2483 Hawks Nest Lane,Stlouis,MO,1370
85 Rardin Drive,San Carlos,CA,1371
2745 Ryder Avenue,Seattle,WA,1372
172 Retreat Avenue,Birmingham,AL,1373
2329 Ventura Drive,Santa Cruz,CA,1374
22 Highland View Drive,Roseville,CA,1375
2169 Birch  Street,El Paso,TX,1376
3326 Charter Street,Mission,KS,1377
1972 Parkway Street,Rancho Mirage,CA,1378
1671 Bell Street,San Antonio,TX,1379
3065 Radford Street,Louisville,KY,1380
1406 Granville Lane,West Orange,NJ,1381
4149 Edsel Road,Los Angeles,CA,1382
3412 Smith Street,Hyannis,MA,1383
1844 Margaret Street,Houston,TX,1384
3746 White Avenue,Corpus Christi,TX,1385
1344 Nuzum Court,Buffalo,NY,1386
1918 Cook Hill Road,Stamford,CT,1387
3901 Old Dear Lane,New York,NY,1388
4764 Reel Avenue,Las Cruces,NM,1389
1203 Clarence Court,Troy,NC,1390
1075 Ashwood Drive,Exira,IA,1391
4596 Langtown Road,Canton,IA,1392
3934 Sunset Drive,Little Rock,AR,1393
2 Edgewood Avenue,Fresno,CA,1394
4151 Davis Court,Metropolis,IL,1395
1521 Philli Lane,Miami,OK,1396
2760 Jones Street,Grapevine,TX,1397
4668 Sweetwood Drive,Westminster,CO,1398
700 Reynolds Alley,Cypress,CA,1399
329 Huntz Lane,Needham,MA,1400
3374 Charter Street,Leavenworth,KS,1401
577 Coventry Court,Baton Rouge,LA,1402
1293 Dog Hill Lane,Lawrence,KS,1403
50 Seltice Way,Twin Falls,ID,1404
4577 Angie Drive,Huntington Beach,CA,1405
4302 Rocky Road,Philadelphia,PA,1406
285 Randolph Street,Fall River,MA,1407
4170 Forest Drive,Arlington,VA,1408
1226 Bolman Court,Roberts,IL,1409
4393 Ethels Lane,Avon Park,FL,1410
4326 Tecumsah Lane,Shreveport,LA,1411
3361 Alpaca Way,Fullerton,CA,1412
2884 Tanglewood Road,Tupelo,MS,1413
2265 Cameron Road,Buffalo,NY,1414
4205 Still Pastures Drive,Augusta,SC,1415
1067 Preston Street,Bushton,KS,1416
1541 School House Road,Hattiesburg,MS,1417
4513 Sharon Lane,Neelyville,MO,1418
3374 Heritage Road,Fresno,CA,1419
1061 Mattson Street,Tigard,OR,1420
1626 Cedar Lane,Boston,MA,1421
1671 Washington Avenue,Jackson,MS,1422
2140 Quilly Lane,Columbus,OH,1423
487 Glen Street,Paducah,KY,1424
3225 James Avenue,Wichita,KS,1425
1558 Kemper Lane,Morgan,UT,1426
4011 Benson Park Drive,Choctaw,OK,1427
1673 Grand Avenue,Maitland,FL,1428
4346 B Street,Maplewood,MN,1429
198 Collins Avenue,Hilliard,OH,1430
3968 Glendale Avenue,Northridge,CA,1431
4854 Post Farm Road,Atlanta,GA,1432
2180 Ford Street,San Jose,CA,1433
2157 Front Street,Flushing,MI,1434
4674 Harper Street,Kirksey,KY,1435
210 Breezewood Court,Moundridge,KS,1436
532 Granville Lane,Weehawken,NJ,1437
591 Passaic Street,Jersey City,NJ,1438
1257 Mulberry Avenue,North Little Rock,AR,1439
4438 Jewell Road,Eagan,MN,1440
1489 Arbor Court,Cheyenne,WY,1441
4485 Richison Drive,Kalispell,MT,1442
4259 Charack Road,Bloomington,IN,1443
4547 Jim Rosa Lane,San Francisco,CA,1444
1050 University Hill Road,Champaign,IL,1445
4209 Golden Ridge Road,Albany,NY,1446
4094 Lincoln Drive,York,PA,1447
319 Breezewood Court,Belle Plaine,KS,1448
173 Riverwood Drive,Redding,CA,1449
4975 Abia Martin Drive,Bethpage,NY,1450
677 Vine Street,Northbrook,IL,1451
4616 Jenna Lane,Norwood,OH,1452
1062 River Road,Colorado Springs,CO,1453
440 Griffin Street,Phoenix,AZ,1454
510 Weekley Street,San Antonio,TX,1455
3536 Oral Lake Road,Minneapolis,MN,1456
3811 Conaway Street,Evansville,IN,1457
2504 Flanigan Oaks Drive,Reston,MD,1458
3962 Middleville Road,City Of Commerce,CA,1459
937 Point Street,Chicago,IL,1460
3774 Wilkinson Street,Nashville,TN,1461
587 Owagner Lane,Seattle,WA,1462
2216 Tail Ends Road,Appleton,WI,1463
2044 Duck Creek Road,Oakland,CA,1464
3321 Philli Lane,Tulsa,OK,1465
2037 Thorn Street,Mountain View,WY,1466
4030 Juniper Drive,Saginaw,MI,1467
2906 Lakeland Terrace,Southfield,MI,1468
2676 Rowes Lane,Franklin,KY,1469
1542 Duffy Street,Plymouth,IN,1470
1637 Petunia Way,Birmingham,AL,1471
2658 Bell Street,New York,NY,1472
2255 Willis Avenue,De Bary,FL,1473
2084 Shobe Lane,Gypsum,CO,1474
627 Roy Alley,Greenwood Village,CO,1475
881 Westfall Avenue,Fairmont,MN,1476
4988 Freed Drive,Stockton,CA,1477
4991 Front Street,Bloomfield Township,MI,1478
1871 County Line Road,Winter Haven,FL,1479
1368 Jewell Road,Minneapolis,MN,1480
2045 Fulton Street,Lost River,WV,1481
2265 Clarksburg Park Road,Phoenix,AZ,1482
2472 Carolina Avenue,Sidney,CO,1483
2772 Melody Lane,Richmond,VA,1484
3937 Emily Drive,Columbia,SC,1485
761 Emily Renzelli Boulevard,Castroville,CA,1486
3235 Winifred Way,Springport,IN,1487
69 Westwood Avenue,Garden City,NY,1488
398 Libby Street,Santa Monica,CA,1489
2808 Franklin Avenue,Orlando,FL,1490
1110 Irving Road,Columbus,OH,1491
2841 Grove Street,Riverhead,NY,1492
100 Honeysuckle Lane,Randle,WA,1493
1508 C Street,Boston,MA,1494
3871 Eagles Nest Drive,Colfax,CA,1495
3791 Stratford Court,Raleigh,NC,1496
3322 Star Route,Schaumburg,IL,1497
4147 Pinewood Drive,Chicago,IL,1498
247 Norman Street,Los Angeles,CA,1499
251 Mcwhorter Road,Jackson,MS,1500
2883 Pike Street,San Diego,CA,1501
3202 Leisure Lane,Goleta,CA,1502
1981 Nancy Street,Wake Forest,NC,1503
3186 Lewis Street,Wheaton,IL,1504
310 Angus Road,New York,NY,1505
1756 Gordon Street,Anaheim,CA,1506
4564 Peck Court,Pomona,CA,1507
4085 East Avenue,Tempe,AZ,1508
3989 Meadowview Drive,Fredericksburg,VA,1509
4662 Liberty Avenue,Anaheim,CA,1510
1140 Rosebud Avenue,Arkadelphia,AR,1511
2651 Aaron Smith Drive,Harrisburg,PA,1512
890 Seth Street,Abilene,TX,1513
129 Charles Street,Gregory,MI,1514
2996 Charmaine Lane,Darrouzett,TX,1515
3898 Essex Court,Burlington,VT,1516
4693 Big Indian,Yscloskey,LA,1517
3481 Jadewood Drive,Chicago,IL,1518
4507 Reel Avenue,Farmington,NM,1519
4305 Moonlight Drive,Mercerville,NJ,1520
3368 Morningview Lane,Allerton,IA,1521
4047 Pearlman Avenue,Chelmsford,MA,1522
4931 Chandler Hollow Road,Portland,PA,1523
756 Agriculture Lane,Miami,FL,1524
271 Drainer Avenue,Tallahassee,FL,1525
760 Turnpike Drive,Sheffield,AL,1526
3632 Stout Street,New Holland,PA,1527
2484 Stutler Lane,Erie,PA,1528
3849 Fleming Street,Georgiana,AL,1529
4128 Courtright Street,Bismarck,ND,1530
4438 Terra Cotta Street,Henning,MN,1531
1848 Twin Oaks Drive,Muskegon,MI,1532
2851 Park Street,Livermore,CA,1533
864 Ralph Drive,Garfield Heights,OH,1534
3706 Deer Haven Drive,Spartanburg,SC,1535
2404 Science Center Drive,Coeur D Alene,ID,1536
1119 Buck Drive,Salt Lake City,UT,1537
1083 West Fork Drive,Fort Lauderdale,FL,1538
2039 Warner Street,Miami Springs,FL,1539
3908 Archwood Avenue,Mountain View,WY,1540
1357 Libby Street,Playa Del Rey,CA,1541
4366 Bernardo Street,Batesville,IN,1542
6 Golden Ridge Road,Bramanville,NY,1543
3206 Creekside Lane,Ventura,CA,1544
2417 Zimmerman Lane,Los Angeles,CA,1545
2535 Hornor Avenue,Tulsa,OK,1546
4260 Woodlawn Drive,New Berlin,WI,1547
4137 Jerry Dove Drive,Florence,SC,1548
4590 Bird Street,Albuquerque,NM,1549
652 Gladwell Street,Longview,TX,1550
4285 Young Road,Garden Valley,ID,1551
4562 Roosevelt Wilson Lane,Los Angeles,CA,1552
2906 Ashcraft Court,Coronado,CA,1553
4796 Grove Avenue,Guymon,OK,1554
2396 Clarksburg Park Road,Phoenix,AZ,1555
3567 Stanley Avenue,Hempstead,NY,1556
577 Whispering Pines Circle,Dallas,TX,1557
383 Polk Street,Sacramento,CA,1558
3740 Scott Street,Poughkeepsie,NY,1559
3459 Sycamore Circle,Bismarck,ND,1560
952 Peaceful Lane,Cleveland,OH,1561
777 Armbrester Drive,El Segundo,CA,1562
3476 Par Drive,San Luis Obispo,CA,1563
3271 Concord Street,Charlotte,NC,1564
4024 Adamsville Road,Laredo,TX,1565
2232 Sycamore Road,Bend,OR,1566
2392 Duffy Street,Merrillville,IN,1567
714 May Street,Pineville,KY,1568
1484 Hickory Heights Drive,Baltimore,MD,1569
722 Kenwood Place,Fort Lauderdale,FL,1570
4428 Renwick Drive,Bethlehem,PA,1571
3427 Spruce Drive,Pittsburgh,PA,1572
4622 Nash Street,Southfield,MI,1573
730 Kelly Drive,Bluefield,WV,1574
3081 Small Street,New York,NY,1575
359 Arthur Avenue,Leonore,IL,1576
2042 Robinson Lane,Columbus,OH,1577
4041 Ventura Drive,Salinas,CA,1578
3116 Lewis Street,Chicago,IL,1579
1677 Chicago Avenue,Reedley,CA,1580
352 Seneca Drive,Gaston,OR,1581
2707 Clarksburg Park Road,Phoenix,AZ,1582
3719 Bernardo Street,Evansville,IN,1583
3719 Kelly Street,Gastonia,NC,1584
170 Bryan Avenue,Saint Paul,MN,1585
700 Levy Court,Gardner,MA,1586
2564 Hillview Street,Columbia,SC,1587
639 Elk Creek Road,Gainesville,GA,1588
259 Hillside Drive,Lafayette,LA,1589
697 Thrash Trail,Longview,TX,1590
3843 Wilson Avenue,Richardson,TX,1591
442 Mount Street,Saginaw,MI,1592
1712 Dola Mine Road,Raleigh,NC,1593
1253 Anmoore Road,New York,NY,1594
3484 Clifford Street,San Leandro,CA,1595
2523 Cody Ridge Road,Oklahoma City,OK,1596
2798 Pennsylvania Avenue,Lyndhurst,NJ,1597
3591 Timber Ridge Road,Sacramento,CA,1598
4225 Ferrell Street,Bear River,MN,1599
4472 Sarah Drive,Lake Charles,LA,1600
4822 Quiet Valley Lane,Sherman Oaks,CA,1601
673 Parker Drive,Cleveland,OH,1602
3228 Valley Street,Haddonfield,NJ,1603
3145 Davis Lane,Denver,CO,1604
3739 Rardin Drive,San Francisco,CA,1605
988 Bastin Drive,Newark,PA,1606
2894 Dovetail Drive,Palatine,IL,1607
3684 Arlington Avenue,Forrest City,AR,1608
79 Parrish Avenue,San Antonio,TX,1609
834 Vernon Street,Palm Springs,CA,1610
3279 Fraggle Drive,Schaumburg,IL,1611
662 Wright Court,Vestavia Hills,AL,1612
3782 Larry Street,New Berlin,WI,1613
1108 Queens Lane,Emporia,VA,1614
4158 Hedge Street,Belleville,NJ,1615
4972 Railroad Street,Jacksonville,FL,1616
4740 Park Street,Livermore,CA,1617
4332 Lonely Oak Drive,Mobile,AL,1618
2537 Jones Avenue,Winston Salem,NC,1619
196 Agriculture Lane,Frederick,WV,1620
2875 Water Street,Fremont,CA,1621
3702 Leisure Lane,Piru,CA,1622
1398 Arron Smith Drive,Honolulu,HI,1623
2904 Plainfield Avenue,Harrisville,NY,1624
1370 Clay Street,Indianapolis,IN,1625
4307 Hampton Meadows,Worcester,MA,1626
2415 Johnstown Road,Arlington Heights,IL,1627
2947 Beechwood Avenue,Flemington,NJ,1628
1502 Raoul Wallenberg Place,New Haven,CT,1629
1179 Wilson Street,Palm Springs,CA,1630
677 Stout Street,Harrisburg,PA,1631
2755 West Virginia Avenue,Albany,NY,1632
1748 Hamilton Drive,Windsor Mill,MD,1633
4467 Hampton Meadows,Cambridge,MA,1634
4296 White Avenue,Corpus Christi,TX,1635
1633 Kelly Drive,New Martinsville,WV,1636
4967 Hillhaven Drive,Culver City,CA,1637
1885 Hope Street,Portland,OR,1638
4563 Pineview Drive,Waseca,MN,1639
2831 Bond Street,Woonsocket,RI,1640
4505 Ingram Street,Dayton,OH,1641
473 Turkey Pen Road,Brooklyn,NY,1642
4794 Poe Lane,Kansas City,KS,1643
2216 Thorn Street,Mountain View,WY,1644
4877 Payne Street,Houston,TX,1645
630 Trainer Avenue,Peoria,IL,1646
2428 Drummond Street,Morristown,NJ,1647
974 Pike Street,San Diego,CA,1648
257 Junior Avenue,Atlanta,GA,1649
1491 Northwest Boulevard,Red Bank,NJ,1650
1695 Pritchard Court,Owatonna,MN,1651
3679 Big Elm,Kansas City,MO,1652
1992 Andy Street,Madison,SD,1653
2756 Sardis Station,Golden Valley,MN,1654
2247 Trails End Road,Pompano Beach,FL,1655
975 Commerce Boulevard,Omaha,NE,1656
4200 Briarwood Drive,Water Works,NJ,1657
3123 Sycamore Fork Road,Boca Raton,FL,1658
3123 Comfort Court,Madison,WI,1659
2322 Elk Rd Little,Tucson,AZ,1660
4628 Jones Street,Blue Mound,TX,1661
1626 Sun Valley Road,Cashmere,WA,1662
3249 Carson Street,Lexington,KY,1663
685 Sunburst Drive,Fort Myers,FL,1664
843 Dane Street,Deer Park,WA,1665
2116 Margaret Street,Houston,TX,1666
3022 Stuart Street,Kecksburg,PA,1667
3020 Arthur Avenue,Lockport,IL,1668
4796 Hickory Heights Drive,Towson,MD,1669
1669 Young Road,Minidoka,ID,1670
4321 Goldie Lane,Dayton,OH,1671
1453 Sugarfoot Lane,Lafayette,IN,1672
3515 Green Hill Road,Springdale,AR,1673
1333 Chipmunk Lane,North Deering,ME,1674
2420 Mercer Street,Wausau,WI,1675
3807 Corbin Branch Road,Johnson City,TN,1676
604 Freedom Lane,Stockton,CA,1677
3402 Junior Avenue,Norcross,GA,1678
3815 Tipple Road,Philadelphia,PA,1679
3516 Cemetery Street,Salinas,CA,1680
4492 Rosewood Lane,New York,NY,1681
4175 McKinley Avenue,Denver,CO,1682
3564 Perry Street,Carsonville,MI,1683
4309 State Street,Dearborn,MI,1684
4486 Martha Street,Cottonwood,AZ,1685
1966 Parkway Drive,Tucson,AZ,1686
4240 Tator Patch Road,Chicago,IL,1687
4524 Deer Ridge Drive,Nutley,NJ,1688
1483 Capitol Avenue,Anderson,IN,1689
1560 Angus Road,New York,NY,1690
882 Bottom Lane,Buffalo,NY,1691
1273 Marietta Street,San Jose,CA,1692
2928 Westfall Avenue,Albuquerque,NM,1693
3058 McDowell Street,Nashville,TN,1694
2487 Cooks Mine Road,Albuquerque,NM,1695
1902 Coplin Avenue,Phoenix,AZ,1696
1348 John Calvin Drive,Calumet City,IL,1697
4712 Williams Avenue,Los Angeles,CA,1698
3929 Harron Drive,Annapolis,MD,1699
590 Providence Lane,Los Angeles,CA,1700
571 Post Farm Road,Atlanta,GA,1701
2322 Ryder Avenue,Everett,WA,1702
4744 Highland Drive,Whitelaw,WI,1703
1560 Wines Lane,Houston,TX,1704
991 Shady Pines Drive,Norton,VA,1705
4478 Patterson Street,Houston,TX,1706
4074 Hazelwood Avenue,West Des Moines,IA,1707
3589 Braxton Street,Belvidere,IL,1708
4518 Harry Place,Charlotte,NC,1709
4046 Fire Access Road,King,NC,1710
2990 Koontz Lane,Sherman Oaks,CA,1711
245 Cheshire Road,Stratford,CT,1712
2716 Benson Street,Green Bay,WI,1713
1102 Nash Street,Detroit,MI,1714
1734 Atha Drive,Bakersfield,CA,1715
752 Stratford Court,Raleigh,NC,1716
4280 Sumner Street,Santa Monica,CA,1717
2492 Ripple Street,Saginaw,MI,1718
807 Upland Avenue,Bascom,OH,1719
517 Brookview Drive,Beaumont,TX,1720
3172 Ersel Street,Frisco,TX,1721
1554 Lowndes Hill Park Road,Sherman Oaks,CA,1722
187 Randolph Street,Walpole,MA,1723
4921 Quiet Valley Lane,Reseda,CA,1724
3194 Mount Olive Road,Gainesville,GA,1725
4325 Parkview Drive,Anaheim,CA,1726
4262 Williams Avenue,Castaic,CA,1727
104 Collins Avenue,Columbus,OH,1728
4174 New York Avenue,Dallas,TX,1729
901 Lords Way,Kenton,TN,1730
3716 Charmaine Lane,Lubbock,TX,1731
4050 Camden Street,Reno,NV,1732
4429 Poe Road,Myrtle Beach,SC,1733
1014 Stonecoal Road,Mansfield,OH,1734
2664 Broadway Avenue,Chattanooga,TN,1735
1222 Ventura Drive,Scotts Valley,CA,1736
4251 Strother Street,Vernon,AL,1737
1250 Lake Road,Camden,NJ,1738
4601 Washington Street,Corpus Christi,TX,1739
3685 Shinn Avenue,Crafton,PA,1740
3586 Chapel Street,Sugar Land,TX,1741
2225 Norman Street,Irvine,CA,1742
2544 Hill Street,Toledo,OH,1743
1923 Clement Street,Atlanta,GA,1744
3524 Passaic Street,Washington,DC,1745
2866 Nickel Road,Irvine,CA,1746
4981 Khale Street,Florence,SC,1747
2116 Bolman Court,Champaign,IL,1748
1656 Thunder Road,Palo Alto,CA,1749
1927 Reppert Coal Road,Gloster,MS,1750
4981 Timberbrook Lane,Akron,CO,1751
1128 Blackwell Street,Anchorage,AK,1752
3230 Zappia Drive,Cincinnati,KY,1753
643 Kessla Way,Kingstree,SC,1754
4151 Steele Street,Oak Brook,IL,1755
3908 Kemper Lane,Salt Lake City,UT,1756
2424 Crosswind Drive,Leitchfield,KY,1757
395 Norma Avenue,Dayton,OH,1758
4751 Edington Drive,Atlanta,GA,1759
641 Ferrell Street,Fargo,MN,1760
3652 Garfield Road,Peoria,IL,1761
2480 Arron Smith Drive,Aiea,HI,1762
2401 Mesa Drive,Lake Mead,NV,1763
4662 Zimmerman Lane,Los Angeles,CA,1764
1231 Rockford Road,New Bedford,MA,1765
4752 Broadway Avenue,Johnson City,TN,1766
4351 Boggess Street,Union City,OH,1767
3922 Ruckman Road,Oklahoma City,OK,1768
4361 Bates Brothers Road,Columbus,OH,1769
2574 Central Avenue,Newark,NJ,1770
2462 Denver Avenue,Elsinore,CA,1771
446 Elk City Road,Indianapolis,IN,1772
276 Lincoln Street,Ocean City,NJ,1773
1322 Rosemont Avenue,Irvine,CA,1774
4819 Chandler Drive,Springfield,MO,1775
1639 Wetzel Lane,Kingsley,MI,1776
4290 Ash Street,Irving,TX,1777
3248 Maxwell Farm Road,Winchester,VA,1778
4287 Camden Place,Lodge,SC,1779
804 Sampson Street,Denver,CO,1780
2159 Junior Avenue,Atlanta,GA,1781
4663 Ben Street,Albany,NY,1782
772 Adonais Way,Norcross,GA,1783
3605 Franklin Street,Montgomery,AL,1784
1249 Thorn Street,Sheridan,WY,1785
3868 Fire Access Road,West Jefferson,NC,1786
2011 Timbercrest Road,Deadhorse,AK,1787
4981 Leisure Lane,Moorpark,CA,1788
4915 Grim Avenue,Chula Vista,CA,1789
4094 Raoul Wallenberg Place,Stamford,CT,1790
595 Flynn Street,Ashtabula,OH,1791
3121 Ashton Lane,Austin,TX,1792
4381 Jerry Toth Drive,Valdez Creek Mine,AK,1793
698 Public Works Drive,Knoxville,TN,1794
274 Sycamore Fork Road,Hopkins,MN,1795
365 Green Avenue,San Jose,CA,1796
4745 Summit Street,Waterville,IA,1797
1428 Memory Lane,Rockford,IL,1798
1217 Walnut Avenue,Mountain Home,ID,1799
2416 Baker Avenue,Arlington,TX,1800
4928 Dovetail Estates,Hardesty,OK,1801
4009 Pearcy Avenue,Milwaukee,WI,1802
4958 Chandler Drive,Branson,MO,1803
4846 Gerald L. Bates Drive,Boston,MA,1804
2401 Hill Street,Alger,OH,1805
4322 Sarah Drive,Lafayette,LA,1806
957 Rainy Day Drive,Boston,MA,1807
2651 Bottom Lane,Buffalo,NY,1808
3897 Parkway Drive,Tempe,AZ,1809
3017 Big Indian,New Orleans,LA,1810
3489 American Drive,Lee,FL,1811
3334 Eva Pearl Street,Baton Rouge,LA,1812
4965 Leroy Lane,Viborg,SD,1813
1136 Overlook Drive,Richmond,IN,1814
1357 Emma Street,Lubbock,TX,1815
1303 Hillview Street,Columbia,SC,1816
835 Broaddus Avenue,Louisville,KY,1817
1062 Sunny Day Drive,Anaheim,CA,1818
1810 Pennsylvania Avenue,Red Bank,NJ,1819
1261 Rockwell Lane,Halifax,NC,1820
896 Meadow View Drive,Hartford,CT,1821
4283 Victoria Court,Monroe,ME,1822
2016 Woodbridge Lane,Detroit,MI,1823
1766 Parker Drive,Cleveland,OH,1824
4446 Sunrise Road,Las Vegas,NV,1825
4748 Stratford Park,Vincennes,IN,1826
3354 Sugarfoot Lane,Lafayette,IN,1827
3198 Flinderation Road,Blue Island,IL,1828
2509 Broaddus Avenue,Madisonville,KY,1829
3925 Lake Forest Drive,Melville,NY,1830
3304 Kessla Way,Pritchardville,SC,1831
4589 Edgewood Avenue,Fresno,CA,1832
3374 Farland Street,Chicago,IL,1833
2371 Passaic Street,Washington,DC,1834
2132 Concord Street,Charlotte,NC,1835
3723 University Drive,Chicago,IL,1836
2949 Abner Road,Owen,WI,1837
4555 Abia Martin Drive,New York,NY,1838
1715 Single Street,Boston,MA,1839
1251 Bolman Court,Champaign,IL,1840
2927 Stark Hollow Road,Hillrose,CO,1841
474 Maple Avenue,Stockton,CA,1842
2965 Mattson Street,Salem,OR,1843
2620 Red Hawk Road,Willmar,MN,1844
1057 Elliott Street,Derry,NH,1845
2169 Argonne Street,Eagleville,DE,1846
3772 Hershell Hollow Road,Chattanooga,TN,1847
1763 Travis Street,Riviera Beach,FL,1848
2098 Watson Street,Maple Shade,NJ,1849
4867 Hillcrest Circle,Golden Valley,MN,1850
2408 Tecumsah Lane,Monroe,LA,1851
1031 Melm Street,Palatka,FL,1852
1692 Coal Street,Erie,PA,1853
4050 Lakeland Park Drive,Stone Mountain,GA,1854
255 Poe Lane,Overland Park,KS,1855
1650 Rollins Road,Dalton,NE,1856
1877 Dancing Dove Lane,New York,NY,1857
712 Lowland Drive,Chicago,IL,1858
219 Gambler Lane,Houston,TX,1859
3909 Simpson Square,Cherokee,OK,1860
4865 Broaddus Avenue,Bowling Green,KY,1861
2770 Church Street,Elmhurst,NY,1862
688 Poco Mas Drive,Garland,TX,1863
536 Arron Smith Drive,Aiea,HI,1864
2150 Drainer Avenue,Pensacola,FL,1865
222 Agriculture Lane,Miami,FL,1866
1365 Felosa Drive,Brownwood,TX,1867
3162 Poe Road,Myrtle Beach,SC,1868
4891 Vineyard Drive,Cleveland,OH,1869
733 Hickory Lane,Meriden,CT,1870
3584 Renwick Drive,Philadelphia,PA,1871
3406 Willis Avenue,Daytona Beach,FL,1872
3684 Pearcy Avenue,Sidney,IN,1873
3211 Brown Street,Oakland,CA,1874
4532 Wexford Way,Columbia,SC,1875
3688 Cliffside Drive,Andover,NY,1876
1573 Arbutus Drive,Miami,FL,1877
4532 Hilltop Street,Millers Falls,MA,1878
2533 Richards Avenue,Stockton,CA,1879
